i,U,K,Px,Py,Pz,Ne
98,-77504131.29901907,40497883.4491643,-4244.551162620663,6859.407855929522,-3741.1467963340388,48.0
99,-77425325.68409851,40440791.627615355,-4244.551162620651,6859.407855929334,-3741.146796334034,50.0
100,-77350383.05927964,40381432.73154339,-4244.551162620704,6859.407855929685,-3741.1467963340124,50.0
101,-77279089.12309164,40321556.93585724,-4244.55116262068,6859.4078559296995,-3741.1467963340897,50.0
102,-77211959.58585991,40265694.47597277,-4244.551162620654,6859.407855929394,-3741.146796334023,50.0
103,-77148030.05606441,40239975.699306205,-4244.551162620716,6859.407855929606,-3741.146796334037,50.0
104,-77085979.32058379,40224083.03199015,-4244.551162620661,6859.407855929538,-3741.1467963340806,52.0
105,-77025095.25499336,40167968.48131581,-4244.551162620658,6859.407855929377,-3741.146796334102,54.0
106,-76966067.73354226,40141303.11455952,-4244.55116262072,6859.407855929571,-3741.146796334115,54.0
107,-76908482.41744477,40117787.76528652,-4244.551162620682,6859.407855929441,-3741.1467963341106,54.0
108,-76851839.96609208,40094971.208833024,-4244.5511626206435,6859.4078559295485,-3741.1467963339924,54.0
109,-76794822.85744356,40108668.28787408,-4244.551162620645,6859.407855929696,-3741.146796334164,54.0
110,-76737202.79798551,40070209.8305394,-4244.551162620658,6859.40785592967,-3741.146796334047,56.0
111,-76676780.46013333,40033936.093177296,-4244.551162620756,6859.407855929436,-3741.1467963340056,56.0
112,-76619337.89524321,40010971.13733513,-4244.551162620645,6859.407855929544,-3741.1467963341734,56.0
113,-76564235.93874581,39986692.832380734,-4244.551162620588,6859.407855929608,-3741.14679633405,57.0
114,-76510507.97820638,39952888.790550075,-4244.551162620781,6859.407855929562,-3741.1467963341456,57.0
115,-76458875.98264086,39922668.50830745,-4244.55116262055,6859.407855929673,-3741.146796334046,57.0
116,-76406692.36839408,39918508.77247279,-4244.5511626207135,6859.407855929469,-3741.146796334028,57.0
117,-76353625.50183104,39864861.68717009,-4244.551162620582,6859.407855929614,-3741.1467963341356,59.0
118,-76297677.99758029,39844945.26401585,-4244.55116262066,6859.407855929533,-3741.1467963339746,59.0
119,-76240804.54593448,39787654.821039446,-4244.5511626207,6859.407855929569,-3741.146796334121,61.0
120,-76184751.67677867,39744498.04803849,-4244.551162620779,6859.407855929543,-3741.1467963341674,61.0
121,-76128528.58084737,39711883.28999275,-4244.551162620602,6859.407855929563,-3741.146796333992,61.0
122,-76072200.98667887,39699992.185716726,-4244.551162620687,6859.407855929512,-3741.1467963340856,61.0
123,-76015856.43709141,39682968.776187085,-4244.551162620581,6859.407855929538,-3741.1467963340197,61.0
124,-75957648.7816241,39697188.98952181,-4244.55116262074,6859.407855929592,-3741.146796334153,61.0
125,-75898649.08825287,39629371.270304665,-4244.551162620722,6859.407855929558,-3741.1467963341033,63.0
126,-75837781.20678855,39612581.415966146,-4244.551162620686,6859.407855929594,-3741.1467963340087,63.0
127,-75775637.84304264,39576192.76527105,-4244.551162620744,6859.4078559296095,-3741.146796334128,63.0
128,-75713455.90740739,39536128.3397612,-4244.551162620597,6859.407855929565,-3741.14679633409,63.0
129,-75649784.01594292,39530306.27183312,-4244.551162620606,6859.4078559295185,-3741.146796334053,63.0
130,-75585607.78234075,39494497.39282056,-4244.551162620644,6859.407855929535,-3741.146796333987,63.0
131,-75521244.36713108,39456537.99927922,-4244.551162620581,6859.407855929574,-3741.146796334097,63.0
